jahr,ort,tage,typ
1959,Basel-Binningen,7,Eistage
1959,Bern-Zollikofen,17,Eistage
1959,Davos,39,Eistage
1959,Genf-Cointrin,3,Eistage
1959,Locarno-Monti,0,Eistage
1959,Lugano,0,Eistage
1959,Luzern,11,Eistage
1959,Neuenburg,10,Eistage
1959,Säntis,133,Eistage
1959,Samedan,58,Eistage
1959,Sitten,6,Eistage
1959,St. Gallen,29,Eistage
1959,Zürich-Fluntern,17,Eistage
1960,Basel-Binningen,18,Eistage
1960,Bern-Zollikofen,23,Eistage
1960,Davos,42,Eistage
1960,Genf-Cointrin,11,Eistage
1960,Locarno-Monti,2,Eistage
1960,Lugano,2,Eistage
1960,Luzern,17,Eistage
1960,Neuenburg,18,Eistage
1960,Säntis,190,Eistage
1960,Samedan,65,Eistage
1960,Sitten,12,Eistage
1960,St. Gallen,22,Eistage
1960,Zürich-Fluntern,24,Eistage
1961,Basel-Binningen,14,Eistage
1961,Bern-Zollikofen,18,Eistage
1961,Davos,44,Eistage
1961,Genf-Cointrin,5,Eistage
1961,Locarno-Monti,3,Eistage
1961,Lugano,0,Eistage
1961,Luzern,14,Eistage
1961,Neuenburg,15,Eistage
1961,Säntis,176,Eistage
1961,Samedan,56,Eistage
1961,Sitten,10,Eistage
1961,St. Gallen,23,Eistage
1961,Zürich-Fluntern,21,Eistage
1962,Basel-Binningen,22,Eistage
1962,Bern-Zollikofen,29,Eistage
1962,Davos,86,Eistage
1962,Genf-Cointrin,15,Eistage
1962,Locarno-Monti,2,Eistage
1962,Lugano,2,Eistage
1962,Luzern,25,Eistage
1962,Neuenburg,20,Eistage
1962,Säntis,207,Eistage
1962,Samedan,87,Eistage
1962,Sitten,17,Eistage
1962,St. Gallen,47,Eistage
1962,Zürich-Fluntern,33,Eistage
1963,Basel-Binningen,48,Eistage
1963,Bern-Zollikofen,54,Eistage
1963,Davos,78,Eistage
1963,Genf-Cointrin,45,Eistage
1963,Locarno-Monti,11,Eistage
1963,Lugano,6,Eistage
1963,Luzern,52,Eistage
1963,Neuenburg,53,Eistage
1963,Säntis,173,Eistage
1963,Samedan,86,Eistage
1963,Sitten,37,Eistage
1963,St. Gallen,66,Eistage
1963,Zürich-Fluntern,56,Eistage
1964,Basel-Binningen,21,Eistage
1964,Bern-Zollikofen,38,Eistage
1964,Davos,53,Eistage
1964,Genf-Cointrin,18,Eistage
1964,Locarno-Monti,0,Eistage
1964,Lugano,0,Eistage
1964,Luzern,30,Eistage
1964,Neuenburg,28,Eistage
1964,Säntis,174,Eistage
1964,Samedan,65,Eistage
1964,Sitten,16,Eistage
1964,St. Gallen,52,Eistage
1964,Zürich-Fluntern,44,Eistage
1965,Basel-Binningen,12,Eistage
1965,Bern-Zollikofen,17,Eistage
1965,Davos,85,Eistage
1965,Genf-Cointrin,5,Eistage
1965,Locarno-Monti,0,Eistage
1965,Lugano,0,Eistage
1965,Luzern,15,Eistage
1965,Neuenburg,11,Eistage
1965,Säntis,204,Eistage
1965,Samedan,87,Eistage
1965,Sitten,13,Eistage
1965,St. Gallen,48,Eistage
1965,Zürich-Fluntern,22,Eistage
1966,Basel-Binningen,15,Eistage
1966,Bern-Zollikofen,17,Eistage
1966,Davos,78,Eistage
1966,Genf-Cointrin,11,Eistage
1966,Locarno-Monti,1,Eistage
1966,Lugano,0,Eistage
1966,Luzern,17,Eistage
1966,Neuenburg,15,Eistage
1966,Säntis,186,Eistage
1966,Samedan,66,Eistage
1966,Sitten,18,Eistage
1966,St. Gallen,27,Eistage
1966,Zürich-Fluntern,18,Eistage
1967,Basel-Binningen,18,Eistage
1967,Bern-Zollikofen,24,Eistage
1967,Davos,64,Eistage
1967,Genf-Cointrin,16,Eistage
1967,Locarno-Monti,3,Eistage
1967,Lugano,0,Eistage
1967,Luzern,23,Eistage
1967,Neuenburg,15,Eistage
1967,Säntis,166,Eistage
1967,Samedan,64,Eistage
1967,Sitten,17,Eistage
1967,St. Gallen,26,Eistage
1967,Zürich-Fluntern,25,Eistage
1968,Basel-Binningen,21,Eistage
1968,Bern-Zollikofen,27,Eistage
1968,Davos,61,Eistage
1968,Genf-Cointrin,12,Eistage
1968,Locarno-Monti,3,Eistage
1968,Lugano,0,Eistage
1968,Luzern,20,Eistage
1968,Neuenburg,17,Eistage
1968,Säntis,164,Eistage
1968,Samedan,75,Eistage
1968,Sitten,14,Eistage
1968,St. Gallen,45,Eistage
1968,Zürich-Fluntern,31,Eistage
1969,Basel-Binningen,31,Eistage
1969,Bern-Zollikofen,41,Eistage
1969,Davos,80,Eistage
1969,Genf-Cointrin,22,Eistage
1969,Locarno-Monti,1,Eistage
1969,Lugano,0,Eistage
1969,Luzern,34,Eistage
1969,Neuenburg,33,Eistage
1969,Säntis,189,Eistage
1969,Samedan,87,Eistage
1969,Sitten,29,Eistage
1969,St. Gallen,46,Eistage
1969,Zürich-Fluntern,41,Eistage
1970,Basel-Binningen,17,Eistage
1970,Bern-Zollikofen,30,Eistage
1970,Davos,87,Eistage
1970,Genf-Cointrin,14,Eistage
1970,Locarno-Monti,1,Eistage
1970,Lugano,0,Eistage
1970,Luzern,28,Eistage
1970,Neuenburg,24,Eistage
1970,Säntis,179,Eistage
1970,Samedan,91,Eistage
1970,Sitten,17,Eistage
1970,St. Gallen,47,Eistage
1970,Zürich-Fluntern,31,Eistage
1971,Basel-Binningen,17,Eistage
1971,Bern-Zollikofen,31,Eistage
1971,Davos,57,Eistage
1971,Genf-Cointrin,24,Eistage
1971,Locarno-Monti,2,Eistage
1971,Lugano,1,Eistage
1971,Luzern,30,Eistage
1971,Neuenburg,31,Eistage
1971,Säntis,167,Eistage
1971,Samedan,82,Eistage
1971,Sitten,14,Eistage
1971,St. Gallen,35,Eistage
1971,Zürich-Fluntern,29,Eistage
1972,Basel-Binningen,15,Eistage
1972,Bern-Zollikofen,26,Eistage
1972,Davos,36,Eistage
1972,Genf-Cointrin,4,Eistage
1972,Locarno-Monti,0,Eistage
1972,Lugano,0,Eistage
1972,Luzern,20,Eistage
1972,Neuenburg,13,Eistage
1972,Säntis,201,Eistage
1972,Samedan,63,Eistage
1972,Sitten,4,Eistage
1972,St. Gallen,37,Eistage
1972,Zürich-Fluntern,24,Eistage
1973,Basel-Binningen,14,Eistage
1973,Bern-Zollikofen,26,Eistage
1973,Davos,84,Eistage
1973,Genf-Cointrin,11,Eistage
1973,Locarno-Monti,0,Eistage
1973,Lugano,0,Eistage
1973,Luzern,17,Eistage
1973,Neuenburg,16,Eistage
1973,Säntis,190,Eistage
1973,Samedan,80,Eistage
1973,Sitten,10,Eistage
1973,St. Gallen,43,Eistage
1973,Zürich-Fluntern,23,Eistage
1974,Basel-Binningen,0,Eistage
1974,Bern-Zollikofen,2,Eistage
1974,Davos,54,Eistage
1974,Genf-Cointrin,0,Eistage
1974,Locarno-Monti,0,Eistage
1974,Lugano,0,Eistage
1974,Luzern,1,Eistage
1974,Neuenburg,1,Eistage
1974,Säntis,218,Eistage
1974,Samedan,47,Eistage
1974,Sitten,2,Eistage
1974,St. Gallen,11,Eistage
1974,Zürich-Fluntern,2,Eistage
1975,Basel-Binningen,9,Eistage
1975,Bern-Zollikofen,18,Eistage
1975,Davos,58,Eistage
1975,Genf-Cointrin,8,Eistage
1975,Locarno-Monti,0,Eistage
1975,Lugano,0,Eistage
1975,Luzern,9,Eistage
1975,Neuenburg,10,Eistage
1975,Säntis,172,Eistage
1975,Samedan,58,Eistage
1975,Sitten,6,Eistage
1975,St. Gallen,27,Eistage
1975,Zürich-Fluntern,15,Eistage
1976,Basel-Binningen,17,Eistage
1976,Bern-Zollikofen,32,Eistage
1976,Davos,60,Eistage
1976,Genf-Cointrin,12,Eistage
1976,Locarno-Monti,1,Eistage
1976,Lugano,0,Eistage
1976,Luzern,26,Eistage
1976,Neuenburg,24,Eistage
1976,Säntis,182,Eistage
1976,Samedan,58,Eistage
1976,Sitten,15,Eistage
1976,St. Gallen,38,Eistage
1976,Zürich-Fluntern,33,Eistage
1977,Basel-Binningen,4,Eistage
1977,Bern-Zollikofen,14,Eistage
1977,Davos,53,Eistage
1977,Genf-Cointrin,5,Eistage
1977,Locarno-Monti,0,Eistage
1977,Lugano,0,Eistage
1977,Luzern,10,Eistage
1977,Neuenburg,11,Eistage
1977,Säntis,166,Eistage
1977,Samedan,70,Eistage
1977,Sitten,5,Eistage
1977,St. Gallen,26,Eistage
1977,Zürich-Fluntern,13,Eistage
1978,Basel-Binningen,18,Eistage
1978,Bern-Zollikofen,26,Eistage
1978,Davos,60,Eistage
1978,Genf-Cointrin,5,Eistage
1978,Locarno-Monti,1,Eistage
1978,Lugano,0,Eistage
1978,Luzern,25,Eistage
1978,Neuenburg,19,Eistage
1978,Säntis,189,Eistage
1978,Samedan,72,Eistage
1978,Sitten,6,Eistage
1978,St. Gallen,42,Eistage
1978,Zürich-Fluntern,28,Eistage
1979,Basel-Binningen,13,Eistage
1979,Bern-Zollikofen,17,Eistage
1979,Davos,70,Eistage
